WorkoutDay,Exercise,FitnessLevel,TargetedMuscle
Chest Day,Dumbbell Bench Press,Beginner,Middle Chest
Chest Day,Incline Dumbbell Press,Beginner,Upper Chest
Chest Day,Decline Dumbbell Press,Beginner,Lower Chest
Chest Day,Push-Ups,Beginner,Middle Chest
Chest Day,Chest Fly,Beginner,Middle Chest
Chest Day,Barbell Bench Press,Intermediate,Middle Chest
Chest Day,Incline Barbell Press,Intermediate,Upper Chest
Chest Day,Decline Barbell Press,Intermediate,Lower Chest
Chest Day,Dumbbell Pullovers,Intermediate,Upper Chest
Chest Day,Machine Chest Press,Intermediate,Middle Chest
Chest Day,Cable Fly,Intermediate,Middle Chest
Chest Day,Barbell Bench Press,Advanced,Middle Chest
Chest Day,Incline Barbell Press,Advanced,Upper Chest
Chest Day,Decline Barbell Press,Advanced,Lower Chest
Chest Day,Chest Dips,Advanced,Lower Chest
Chest Day,Cable Crossover,Advanced,Middle Chest
Chest Day,Pec Deck Machine,Advanced,Middle Chest
Chest Day,Single-Arm Cable Fly,Advanced,Upper Chest
Back Day,Lat Pulldowns,Beginner,Upper Back
Back Day,Seated Cable Rows,Beginner,Middle Back
Back Day,Dumbbell Rows,Beginner,Middle Back
Back Day,Face Pulls,Beginner,Upper Back
Back Day,Back Extensions,Beginner,Lower Back
Back Day,Lat Pulldowns,Intermediate,Upper Back
Back Day,Seated Cable Rows,Intermediate,Middle Back
Back Day,Barbell Rows,Intermediate,Middle Back
Back Day,T-Bar Rows,Intermediate,Middle Back
Back Day,Pull-Ups,Intermediate,Upper Back
Back Day,Single-Arm Dumbbell Rows,Intermediate,Middle Back
Back Day,Deadlifts,Intermediate,Lower Back
Back Day,Lat Pulldowns,Advanced,Upper Back
Back Day,Seated Cable Rows,Advanced,Middle Back
Back Day,Barbell Rows,Advanced,Middle Back
Back Day,T-Bar Rows,Advanced,Middle Back
Back Day,Pull-Ups,Advanced,Upper Back
Back Day,Single-Arm Dumbbell Rows,Advanced,Middle Back
Back Day,Deadlifts,Advanced,Lower Back
Back Day,Weighted Pull-Ups,Advanced,Upper Back
Back Day,Chest-Supported Rows,Advanced,Middle Back
Back Day,Rack Pulls,Advanced,Lower Back
Back Day,Rope Climbs,Advanced,Full Back
Arm Day,Bicep Curls,Beginner,Biceps
Arm Day,Tricep Pushdowns,Beginner,Triceps
Arm Day,Shoulder Press,Beginner,Shoulders
Arm Day,Lateral Raises,Beginner,Shoulders
Arm Day,Wrist Curls,Beginner,Forearms
Arm Day,Hammer Curls,Beginner,Biceps
Arm Day,Tricep Dips,Beginner,Triceps
Arm Day,Front Raises,Beginner,Shoulders
Arm Day,Reverse Wrist Curls,Beginner,Forearms
Arm Day,Bicep Curls,Intermediate,Biceps
Arm Day,Tricep Pushdowns,Intermediate,Triceps
Arm Day,Shoulder Press,Intermediate,Shoulders
Arm Day,Lateral Raises,Intermediate,Shoulders
Arm Day,Wrist Curls,Intermediate,Forearms
Arm Day,Hammer Curls,Intermediate,Biceps
Arm Day,Tricep Dips,Intermediate,Triceps
Arm Day,Front Raises,Intermediate,Shoulders
Arm Day,Reverse Wrist Curls,Intermediate,Forearms
Arm Day,Concentration Curls,Intermediate,Biceps
Arm Day,Overhead Tricep Extensions,Intermediate,Triceps
Arm Day,Arnold Press,Intermediate,Shoulders
Arm Day,Reverse Curls,Intermediate,Forearms
Arm Day,Bicep Curls,Advanced,Biceps
Arm Day,Tricep Pushdowns,Advanced,Triceps
Arm Day,Shoulder Press,Advanced,Shoulders
Arm Day,Lateral Raises,Advanced,Shoulders
Arm Day,Wrist Curls,Advanced,Forearms
Arm Day,Hammer Curls,Advanced,Biceps
Arm Day,Tricep Dips,Advanced,Triceps
Arm Day,Front Raises,Advanced,Shoulders
Arm Day,Reverse Wrist Curls,Advanced,Forearms
Arm Day,Concentration Curls,Advanced,Biceps
Arm Day,Overhead Tricep Extensions,Advanced,Triceps
Arm Day,Arnold Press,Advanced,Shoulders
Arm Day,Reverse Curls,Advanced,Forearms
Arm Day,Preacher Curls,Advanced,Biceps
Arm Day,Skull Crushers,Advanced,Triceps
Arm Day,Lateral Raises With Dumbbells,Advanced,Shoulders
Arm Day,Wrist Rollers,Advanced,Forearms
Arm Day,Incline Bicep Curls,Advanced,Biceps
Arm Day,Tricep Kickbacks,Advanced,Triceps
Arm Day,Military Press,Advanced,Shoulders
